title,budget,dom_gross,intl_gross,disc_gross,release_date
Inglourious Basterds (2009),"$70,000,000","$120,774,594","$316,915,264","$101,871,441","August 20th, 2009 (Special Engagement) by "
Killers (2010),"$75,000,000","$47,059,963","$95,572,749","$20,039,577","June 4th, 2010 (Wide) by "
Immortals (2011),"$75,000,000","$83,504,017","$211,562,435","$36,957,386","November 11th, 2011 (Wide) by "
Now You See Me (2013),"$75,000,000","$117,723,989","$342,769,200","$32,303,794","May 31st, 2013 (Wide) by "
Nine (2009),"$80,000,000","$19,676,965","$53,508,858","$6,457,547","December 18th, 2009 (Exclusive) by "
Pompeii (2014),"$80,000,000","$23,169,033","$108,469,033","$7,896,625","February 21st, 2014 (Wide) by "
The Last Witch Hunter (2015),"$80,000,000","$27,367,660","$131,234,406","$19,554,347","October 23rd, 2015 (Wide) by "
The Hunger Games (2012),"$80,000,000","$408,010,692","$677,923,379","$222,332,347","March 23rd, 2012 (Wide) by "
Mirror Mirror (2012),"$85,000,000","$64,935,167","$173,613,482","$29,645,753","March 30th, 2012 (Wide) by "
Divergent (2014),"$85,000,000","$150,947,895","$276,014,965","$64,145,524","March 21st, 2014 (Wide) by "
Now You See Me 2 (2016),"$90,000,000","$65,075,540","$328,675,540","$15,332,642","June 10th, 2016 (Wide) by "
The Girl with the Dragon Tattoo (2011),"$90,000,000","$102,515,793","$239,373,970","$40,159,651","December 20th, 2011 (Wide) by "
The Expendables 2 (2012),"$100,000,000","$85,028,192","$311,979,256","$38,049,941","August 17th, 2012 (Wide) by "
Django Unchained (2012),"$100,000,000","$162,805,434","$449,948,323","$63,408,920","December 25th, 2012 (Wide) by "
Ender's Game (2013),"$110,000,000","$61,737,191","$127,983,283","$26,626,134","November 1st, 2013 (Wide) by "
The Divergent Series: Allegiant (2016),"$110,000,000","$66,184,051","$171,484,051","$21,491,991","March 18th, 2016 (Wide) by "
Elysium (2013),"$120,000,000","$93,050,117","$286,192,091","$35,175,058","August 9th, 2013 (Wide) by "
The Hunger Games: Mockingjay - Part 1 (2014),"$125,000,000","$337,135,885","$766,652,288","$77,353,748","November 21st, 2014 (Wide) by "
The Hunger Games: Catching Fire (2013),"$130,000,000","$424,668,047","$864,868,047","$122,574,706","November 22nd, 2013 (Wide) by "
Deepwater Horizon (2016),"$156,000,000","$61,433,527","$122,931,214","$16,206,920","September 30th, 2016 (Wide) by "
The Hunger Games: Mockingjay - Part 2 (2015),"$160,000,000","$281,723,902","$650,523,427","$51,622,420","November 20th, 2015 (Wide) by "
Machine Gun Preacher (2011),"$30,000,000","$538,690","$3,721,988","$3,813,789","September 23rd, 2011 (Limited) by "
Case 39 (2010),"$27,000,000","$13,261,851","$28,773,827","$5,418,893","October 1st, 2010 (Wide) by "
The Giver (2014),"$25,000,000","$45,090,374","$55,090,374","$9,543,160","August 15th, 2014 (Wide) by "
Nocturnal Animals (2016),"$22,500,000","$10,663,357","$31,151,819","$2,314,412","November 18th, 2016 (Limited) by "
12 Years a Slave (2013),"$20,000,000","$56,671,993","$181,025,343","$24,887,003","October 18th, 2013 (Limited) by "
Burnt (2015),"$20,000,000","$13,651,946","$32,632,668","$2,860,937","October 30th, 2015 (Wide) by "
The Artist (2011),"$16,000,000","$44,667,095","$128,256,712","$13,026,539","November 25th, 2011 (Limited) by "
The Theory of Everything (2014),"$15,000,000","$35,893,537","$123,327,692","$5,822,262","November 7th, 2014 (Limited) by "
Act of Valor (2012),"$12,000,000","$70,012,847","$82,497,035","$44,211,123","February 24th, 2012 (Wide) by "
Jigsaw (2017),"$10,000,000","$38,052,832","$102,630,330","$6,160,006","October 27th, 2017 (Wide) by "
The Collection (2012),"$10,000,000","$6,810,754","$8,890,094","$3,573,865","November 30th, 2012 (Wide) by "
Cedar Rapids (2011),"$10,000,000","$6,861,102","$7,862,131","$2,275,363","February 11th, 2011 (Limited) by "
Shut In (2016),"$10,000,000","$6,900,335","$11,361,962","$1,871,522","November 11th, 2016 (Wide) by "
Seeking a Friend for the End of the World (2012),"$10,000,000","$7,078,738","$11,766,959","$2,688,755","June 22nd, 2012 (Wide) by "
Movie 43 (2012),"$10,000,000","$8,840,453","$31,164,747","$3,140,682","January 25th, 2013 (Wide) by "
Big Eyes (2014),"$10,000,000","$14,482,031","$27,317,872","$3,193,506","December 25th, 2014 (Limited) by "
My Week with Marilyn (2011),"$10,000,000","$14,597,405","$34,240,572","$7,953,189","November 23rd, 2011 (Limited) by "
Blair Witch (2016),"$10,000,000","$20,777,061","$37,493,221","$2,391,848","September 16th, 2016 (Wide) by "
Mud (2013),"$10,000,000","$21,590,086","$31,556,959","$8,985,939","April 26th, 2013 (Limited) by "
The Forest (2016),"$10,000,000","$26,594,261","$40,579,218","$2,862,235","January 8th, 2016 (Wide) by "
Sinister 2 (2015),"$10,000,000","$27,740,955","$54,104,225","$2,169,552","August 21st, 2015 (Wide) by "
One Direction: This is Us (2013),"$10,000,000","$28,873,374","$68,541,786","$21,536,518","August 30th, 2013 (Wide) by "
When the Bough Breaks (2016),"$10,000,000","$29,747,603","$30,768,449","$3,682,372","September 9th, 2016 (Wide) by "
The Second Best Exotic Marigold Hotel (2015),"$10,000,000","$33,078,266","$90,384,306","$4,502,051","March 6th, 2015 (Wide) by "
The Best Exotic Marigold Hotel (2012),"$10,000,000","$46,383,639","$134,639,780","$23,250,494","May 4th, 2012 (Limited) by "
Insidious Chapter 3 (2015),"$10,000,000","$52,218,558","$120,678,444","$4,494,740","June 5th, 2015 (Wide) by "
Saw V (2008),"$10,800,000","$56,746,769","$118,209,778","$31,192,623","October 24th, 2008 (Wide) by "
Inside Llewyn Davis (2013),"$11,000,000","$13,248,209","$32,943,247","$3,732,748","December 6th, 2013 (Limited) by "
Quartet (2012),"$11,000,000","$18,388,357","$56,178,935","$2,805,285","January 11th, 2013 (Limited) by "
Saw VI (2009),"$11,000,000","$27,693,292","$69,752,402","$12,836,243","October 23rd, 2009 (Wide) by "
Woman in Gold (2015),"$11,000,000","$33,307,793","$56,758,138","$4,075,525","April 1st, 2015 (Limited) by "
Brooklyn (2015),"$11,000,000","$38,322,743","$62,076,141","$4,720,429","November 4th, 2015 (Limited) by "
Dirty Grandpa (2016),"$11,500,000","$35,593,113","$105,241,410","$8,980,054","January 22nd, 2016 (Wide) by "
Carol (2015),"$11,800,000","$12,711,491","$43,200,034","$1,882,248","November 20th, 2015 (Limited) by "
The Dressmaker (2015),"$11,900,000","$2,022,115","$24,041,617","$452,374","September 23rd, 2016 (Limited) by "
For Greater Glory (2012),"$12,000,000","$5,669,081","$10,026,255","$2,820,845","June 1st, 2012 (Wide) by "
Wish Upon (2017),"$12,000,000","$14,301,505","$23,477,345","$561,469","July 14th, 2017 (Wide) by "
Just Wright (2010),"$12,000,000","$21,540,363","$21,867,665","$11,622,249","May 14th, 2010 (Wide) by "
Hell or High Water (2016),"$12,000,000","$27,007,844","$37,584,304","$7,297,077","August 12th, 2016 (Limited) by "
Philomena (2013),"$12,000,000","$37,709,979","$98,963,392","$7,954,930","November 22nd, 2013 (Limited) by "
Lion (2016),"$12,000,000","$51,739,495","$147,539,495","$3,757,070","November 25th, 2016 (Limited) by "
Heaven is for Real (2014),"$12,000,000","$91,386,097","$100,919,111","$43,099,234","April 16th, 2014 (Wide) by "
Think Like a Man (2012),"$12,000,000","$91,547,205","$113,373,764","$19,956,524","April 20th, 2012 (Wide) by "
The Paperboy (2012),"$12,500,000","$677,200","$3,522,153","$4,059,311","October 5th, 2012 (Limited) by "
Conviction (2010),"$12,500,000","$6,797,696","$11,826,980","$6,807,228","October 15th, 2010 (Limited) by "
Sorority Row (2009),"$12,500,000","$11,965,282","$26,735,797","$4,144,564","September 11th, 2009 (Wide) by "
The Drop (2014),"$12,600,000","$10,724,389","$19,054,534","$3,710,099","September 12th, 2014 (Limited) by "
The Call (2013),"$12,800,000","$51,872,378","$69,821,476","$14,612,155","March 15th, 2013 (Wide) by "
The Vatican Tapes (2015),"$13,000,000","$1,784,763","$14,999,638","$256,578","July 24th, 2015 (Limited) by "
Room (2015),"$13,000,000","$14,677,674","$36,262,783","$2,686,578","October 16th, 2015 (Limited) by "
The Perks of Being a Wallflower (2012),"$13,000,000","$17,742,948","$33,069,303","$17,641,095","September 21st, 2012 (Limited) by "
Admission (2013),"$13,000,000","$18,007,317","$18,733,666","$3,763,636","March 22nd, 2013 (Wide) by "
Eye in the Sky (2016),"$13,000,000","$18,704,596","$34,916,128","$3,935,133","March 11th, 2016 (Limited) by "
Ex Machina (2015),"$13,000,000","$25,440,971","$38,976,797","$9,652,623","April 10th, 2015 (Limited) by "
21 and Over (2013),"$13,000,000","$25,682,380","$42,195,766","$8,803,006","March 1st, 2013 (Wide) by "
Earth to Echo (2014),"$13,000,000","$38,934,842","$42,174,545","$9,836,095","July 2nd, 2014 (Wide) by "
St. Vincent (2014),"$13,000,000","$44,137,712","$54,837,234","$7,813,691","October 10th, 2014 (Limited) by "
Miracles from Heaven (2016),"$13,000,000","$61,705,123","$73,798,720","$18,996,186","March 16th, 2016 (Wide) by "
Black Swan (2010),"$13,000,000","$106,954,678","$331,266,710","$33,521,439","December 3rd, 2010 (Limited) by "
Seven Psychopaths (2012),"$13,500,000","$15,024,049","$33,035,736","$8,441,328","October 12th, 2012 (Wide) by "
Mr. Turner (2014),"$14,000,000","$3,958,546","$25,187,026","$633,004","December 19th, 2014 (Limited) by "
Suffragette (2014),"$14,000,000","$4,702,420","$34,044,909","$858,122","October 23rd, 2015 (Limited) by "
Our Family Wedding (2010),"$14,000,000","$20,255,281","$21,410,546","$7,214,188","March 12th, 2010 (Wide) by "
The Iron Lady (2012),"$14,000,000","$29,959,436","$115,592,104","$11,897,935","December 30th, 2011 (Oscar Qualifying Run) by "
Tyler Perry's Good Deeds (2012),"$14,000,000","$35,025,791","$35,579,177","$13,209,726","February 24th, 2012 (Wide) by "
The Possession (2012),"$14,000,000","$49,130,588","$82,925,064","$8,928,729","August 31st, 2012 (Wide) by "
Slumdog Millionaire (2008),"$14,000,000","$141,330,703","$384,530,440","$39,886,732","November 12th, 2008 (Limited) by "
Khumba (2013),"$15,000,000",$0,"$20,898,221","$928,692","December 6th, 2013 (Limited) by "
The Son of No One (2011),"$15,000,000","$30,680","$1,148,578","$2,131,072","November 4th, 2011 (Limited) by "
Centurion (2010),"$15,000,000","$123,570","$7,885,048","$5,041,834","August 27th, 2010 (Limited) by "
Never Let Me Go (2010),"$15,000,000","$2,434,652","$11,173,718","$3,736,281","September 15th, 2010 (Limited) by "
The Founder (2016),"$15,000,000","$12,786,053","$18,301,228","$2,339,079","December 31st, 2016 (Oscar Qualifying Run) by "
Whip It (2009),"$15,000,000","$13,077,184","$18,889,972","$9,631,153","October 2nd, 2009 (Wide) by "
Killing Them Softly (2012),"$15,000,000","$14,945,541","$39,238,443","$5,776,380","November 30th, 2012 (Wide) by "
The Hurt Locker (2009),"$15,000,000","$17,017,811","$49,894,223","$53,987,843","June 26th, 2009 (Limited) by "
A Most Wanted Man (2014),"$15,000,000","$17,237,855","$36,068,890","$1,990,112","July 25th, 2014 (Limited) by "
Country Strong (2010),"$15,000,000","$20,218,921","$20,601,987","$12,834,219","December 22nd, 2010 (Limited) by "
The Place Beyond the Pines (2013),"$15,000,000","$21,403,519","$47,011,449","$6,690,605","March 29th, 2013 (Limited) by "
The November Man (2014),"$15,000,000","$25,018,119","$34,820,335","$1,560,030","August 27th, 2014 (Wide) by "
When the Game Stands Tall (2014),"$15,000,000","$30,127,963","$30,138,912","$14,381,187","August 22nd, 2014 (Wide) by "
End of Watch (2012),"$15,000,000","$41,003,371","$57,586,606","$26,085,605","September 21st, 2012 (Wide) by "
Snitch (2013),"$15,000,000","$42,930,462","$57,907,734","$15,420,251","February 22nd, 2013 (Wide) by "
The Woman in Black (2012),"$15,000,000","$54,333,290","$128,955,898","$11,570,050","February 3rd, 2012 (Wide) by "
The Imitation Game (2014),"$15,000,000","$91,125,143","$227,773,686","$10,647,127","November 28th, 2014 (Limited) by "
The Homesman (2014),"$16,000,000","$2,429,989","$8,217,571","$2,918,628","November 14th, 2014 (Limited) by "
Bleed for This (2016),"$16,000,000","$5,083,906","$6,248,077","$1,232,788","November 18th, 2016 (Wide) by "
Remember Me (2010),"$16,000,000","$19,068,240","$56,506,120","$15,389,251","March 12th, 2010 (Wide) by "
The Roommate (2011),"$16,000,000","$37,300,107","$52,545,707","$6,402,160","February 4th, 2011 (Wide) by "
Moonrise Kingdom (2012),"$16,000,000","$45,512,466","$68,582,095","$14,585,214","May 25th, 2012 (Limited) by "
The Young Messiah (2016),"$16,800,000","$6,469,813","$7,313,697","$2,070,314","March 11th, 2016 (Wide) by "
Escobar: Paradise Lost (2015),"$17,000,000","$195,792","$1,973,945","$116,675","June 26th, 2015 (Limited) by "
My Life in Ruins (2009),"$17,000,000","$8,677,425","$20,477,425","$10,808,596","June 5th, 2009 (Wide) by "
Brooklyn's Finest (2010),"$17,000,000","$27,163,593","$39,233,233","$14,521,793","March 5th, 2010 (Wide) by "
Beastly (2011),"$17,000,000","$27,865,571","$38,028,230","$8,169,774","March 4th, 2011 (Wide) by "
Saw 3D (2010),"$17,000,000","$45,710,178","$133,735,284","$14,197,027","October 29th, 2010 (Wide) by "
Black Nativity (2013),"$17,500,000","$7,018,188","$7,285,135","$92,377","November 27th, 2013 (Wide) by "
T2: Trainspotting (2017),"$18,000,000","$2,402,004","$42,074,024","$1,263,168","March 17th, 2017 (Limited) by "
Metallica Through the Never (2013),"$18,000,000","$3,419,967","$9,082,906","$1,154,788","September 27th, 2013 (IMAX) by "
The Railway Man (2014),"$18,000,000","$4,438,438","$23,910,210","$633,160","April 11th, 2014 (Limited) by "
Mongol (2008),"$18,000,000","$5,705,761","$27,147,349","$3,977,576","June 6th, 2008 (Limited) by "
And So It Goes (2014),"$18,000,000","$15,160,801","$17,762,041","$783,264","July 25th, 2014 (Wide) by "
Youth in Revolt (2010),"$18,000,000","$15,285,588","$19,685,588","$6,600,114","January 8th, 2010 (Wide) by "
Norm of the North (2016),"$18,000,000","$17,062,499","$27,392,195","$4,840,443","January 15th, 2016 (Wide) by "
127 Hours (2010),"$18,000,000","$18,335,230","$60,217,171","$13,581,312","November 5th, 2010 (Limited) by "
Love the Coopers (2015),"$18,000,000","$26,302,731","$42,167,286","$3,368,130","November 13th, 2015 (Wide) by "
Blue Jasmine (2013),"$18,000,000","$33,404,871","$102,912,961","$4,856,491","July 26th, 2013 (Limited) by "
Soul Surfer (2011),"$18,000,000","$43,853,424","$47,158,652","$21,654,176","April 8th, 2011 (Wide) by "
The Perfect Guy (2015),"$18,000,000","$57,027,435","$60,278,166","$6,768,788","September 11th, 2015 (Wide) by "
Take Me Home Tonight (2011),"$19,000,000","$6,928,068","$7,576,604","$4,701,466","March 4th, 2011 (Wide) by "
The Switch (2010),"$19,000,000","$27,758,465","$49,858,465","$10,166,451","August 20th, 2010 (Wide) by "
The Crazies (2010),"$19,000,000","$39,123,589","$56,445,534","$15,070,138","February 26th, 2010 (Wide) by "
Regression (2015),"$20,000,000","$55,039","$14,883,495","$132,078","October 30th, 2015 (Limited) by "
The Cold Light of Day (2012),"$20,000,000","$3,763,583","$25,361,206","$5,398,094","September 7th, 2012 (Wide) by "
A Most Violent Year (2014),"$20,000,000","$5,749,134","$6,071,433","$1,277,781","December 31st, 2014 (Limited) by "
Little Boy (2015),"$20,000,000","$6,485,961","$17,684,355","$2,541,118","April 24th, 2015 (Wide) by "
Machete Kills (2013),"$20,000,000","$8,008,161","$18,273,009","$6,283,511","October 11th, 2013 (Wide) by "
Battle of the Year (2013),"$20,000,000","$8,888,355","$16,723,377","$448,857","September 20th, 2013 (Wide) by "
Let Me In (2010),"$20,000,000","$12,134,935","$28,270,399","$10,253,150","October 1st, 2010 (Wide) by "
Triple 9 (2016),"$20,000,000","$12,639,297","$25,943,792","$4,024,382","February 26th, 2016 (Wide) by "
Lockout (2012),"$20,000,000","$14,326,865","$33,943,049","$8,847,683","April 13th, 2012 (Wide) by "
Capitalism: A Love Story (2009),"$20,000,000","$14,363,397","$19,121,531","$4,830,513","September 23rd, 2009 (Limited) by "
Armored (2009),"$20,000,000","$15,988,876","$23,661,038","$6,992,236","December 4th, 2009 (Wide) by "
Silent Hill: Revelation 3D (2012),"$20,000,000","$17,530,219","$55,975,672","$7,441,216","October 26th, 2012 (Wide) by "
The World's End (2013),"$20,000,000","$26,004,851","$47,508,505","$9,285,978","August 23rd, 2013 (Wide) by "
Daybreakers (2010),"$20,000,000","$30,101,577","$51,445,503","$17,030,515","January 8th, 2010 (Wide) by "
The Debt (2011),"$20,000,000","$31,177,548","$46,604,054","$10,278,965","August 31st, 2011 (Wide) by "
Texas Chainsaw 3D (2013),"$20,000,000","$34,341,945","$47,666,013","$6,431,788","January 4th, 2013 (Wide) by "
The American (2010),"$20,000,000","$35,606,376","$67,950,723","$11,029,999","September 1st, 2010 (Wide) by "
Nerve (2016),"$20,000,000","$38,583,626","$61,680,792","$5,766,847","July 27th, 2016 (Wide) by "
Spotlight (2015),"$20,000,000","$45,055,776","$92,217,729","$4,927,904","November 6th, 2015 (Limited) by "
Tyler Perry's Madea's Witness Protection (2012),"$20,000,000","$65,653,242","$66,950,887","$14,651,254","June 29th, 2012 (Wide) by "
Obsessed (2009),"$20,000,000","$68,261,644","$73,964,713","$22,847,528","April 24th, 2009 (Wide) by "
The Descendants (2011),"$20,000,000","$82,624,961","$175,507,800","$23,311,276","November 16th, 2011 (Limited) by "
Bad Moms (2016),"$20,000,000","$113,257,297","$181,457,297","$16,641,478","July 29th, 2016 (Wide) by "
Wonder (2017),"$20,000,000","$132,422,809","$299,306,218","$18,529,880","November 17th, 2017 (Wide) by "
La La Land (2016),"$20,000,000","$151,101,803","$428,353,190","$16,232,652","December 9th, 2016 (Limited) by "
Away We Go (2009),"$21,000,000","$9,451,946","$10,108,016","$6,110,847","June 5th, 2009 (Limited) by "
For Colored Girls (2010),"$21,000,000","$37,729,698","$38,017,873","$21,164,358","November 5th, 2010 (Wide) by "
Silver Linings Playbook (2012),"$21,000,000","$132,092,958","$236,412,453","$31,319,008","November 16th, 2012 (Limited) by "
Stone (2010),"$22,000,000","$1,810,078","$4,065,020","$5,829,640","October 8th, 2010 (Limited) by "
Out of the Furnace (2013),"$22,000,000","$11,330,849","$15,434,375","$5,229,093","December 4th, 2013 (Limited) by "
The Transporter Refueled (2015),"$22,000,000","$16,029,670","$69,698,495","$3,827,998","September 4th, 2015 (Wide) by "
Homefront (2013),"$22,000,000","$20,158,492","$51,695,362","$13,524,222","November 27th, 2013 (Wide) by "
Haywire (2012),"$23,000,000","$18,942,396","$36,374,700","$9,902,773","January 20th, 2012 (Wide) by "
The Wedding Ringer (2015),"$23,000,000","$64,460,211","$80,171,596","$6,561,243","January 16th, 2015 (Wide) by "
I Don't Know How She Does It (2011),"$24,000,000","$9,659,074","$24,474,463","$3,951,983","September 16th, 2011 (Wide) by "
Faster (2010),"$24,000,000","$23,240,020","$35,792,945","$17,683,713","November 24th, 2010 (Wide) by "
Piranha 3D (2010),"$24,000,000","$25,003,155","$83,660,160","$9,954,566","August 20th, 2010 (Wide) by "
Zack and Miri Make a Porno (2008),"$24,000,000","$31,457,946","$36,856,306","$22,630,656","October 31st, 2008 (Limited) by "
The Men Who Stare at Goats (2009),"$24,000,000","$32,428,195","$67,348,218","$11,310,793","November 6th, 2009 (Wide) by "
Think Like a Man Too (2014),"$24,000,000","$65,028,687","$70,027,933","$4,973,304","June 20th, 2014 (Wide) by "
On the Road (2012),"$25,000,000","$720,828","$9,313,302","$1,267,039","December 21st, 2012 (Oscar Qualifying Run) by "
Jane Got a Gun (2015),"$25,000,000","$1,513,793","$3,771,345","$1,727,958","January 29th, 2016 (Wide) by "
Bad Lieutenant: Port of Call New Orleans (2009),"$25,000,000","$1,702,112","$12,413,949","$6,300,802","November 20th, 2009 (Limited) by "
The Road (2009),"$25,000,000","$8,114,270","$29,206,732","$10,777,420","November 25th, 2009 (Wide) by "
The Conspirator (2011),"$25,000,000","$11,538,204","$15,907,411","$5,097,484","April 15th, 2011 (Wide) by "
