title,budget,dom_gross,intl_gross,disc_gross,release_date
Super (2011),"$2,500,000","$327,716","$593,933","$1,453,450","April 1st, 2011 (Limited) by "
The Spectacular Now (2013),"$2,500,000","$6,852,971","$6,916,951","$3,039,686","August 2nd, 2013 (Limited) by "
Kevin Hart: Let Me Explain (2013),"$2,500,000","$32,244,051","$32,327,255","$5,685,191","July 3rd, 2013 (Wide) by "
A Haunted House (2013),"$2,500,000","$40,041,683","$59,922,558","$9,353,895","January 11th, 2013 (Wide) by "
Ida (2014),"$2,600,000","$3,827,060","$15,298,355","$877,778","May 2nd, 2014 (Limited) by "
Before We Go (2015),"$3,000,000","$37,151","$483,938","$275,820","September 4th, 2015 (Limited) by "
Tusk (2014),"$3,000,000","$1,821,983","$1,857,688","$556,090","September 19th, 2014 (Limited) by "
Swiss Army Man (2016),"$3,000,000","$4,210,454","$5,837,111","$632,779","June 24th, 2016 (Limited) by "
The Collector (2009),"$3,000,000","$7,712,114","$10,473,836","$3,816,035","July 31st, 2009 (Wide) by "
Before Midnight (2013),"$3,000,000","$8,110,621","$23,251,930","$2,390,589","May 24th, 2013 (Limited) by "
Sinister (2012),"$3,000,000","$48,086,903","$87,727,807","$13,908,632","October 12th, 2012 (Wide) by "
War Room (2015),"$3,000,000","$67,790,117","$73,975,239","$44,479,409","August 28th, 2015 (Limited) by "
The Meddler (2016),"$3,200,000","$4,267,219","$5,526,942","$526,802","April 22nd, 2016 (Limited) by "
Whiplash (2014),"$3,300,000","$13,092,006","$33,474,334","$4,161,642","October 10th, 2014 (Limited) by "
The Witch (2016),"$3,500,000","$25,138,705","$40,454,520","$4,342,520","February 19th, 2016 (Wide) by "
The Darkness (2016),"$4,000,000","$10,753,574","$10,898,293","$390,504","May 13th, 2016 (Wide) by "
The Last Exorcism Part II (2013),"$4,000,000","$15,179,303","$25,448,707","$2,099,431","March 1st, 2013 (Wide) by "
A Haunted House 2 (2014),"$4,000,000","$17,329,487","$21,206,861","$3,891,814","April 18th, 2014 (Wide) by "
Boyhood (2014),"$4,000,000","$25,379,975","$57,273,049","$5,723,060","July 11th, 2014 (Limited) by "
Maggie (2015),"$4,500,000","$187,112","$597,989","$3,156,161","May 8th, 2015 (Limited) by "
Only God Forgives (2013),"$4,800,000","$775,849","$4,494,560","$1,316,131","July 19th, 2013 (Limited) by "
Ain't Them Bodies Saints (2013),"$5,000,000","$391,611","$1,075,009","$237,248","August 16th, 2013 (Limited) by "
Kill the Messenger (2014),"$5,000,000","$2,450,846","$6,656,705","$3,053,812","October 10th, 2014 (Limited) by "
Everything Must Go (2011),"$5,000,000","$2,712,131","$2,821,010","$2,032,133","May 13th, 2011 (Limited) by "
Green Room (2016),"$5,000,000","$3,220,371","$3,807,503","$1,533,511","April 15th, 2016 (Limited) by "
